#,項目號碼,項目說明,製造商,上次採購價格,供應商最新報價
195,03-3512243D0,*DDRII800 512MB M2SK-12PC5C05-C V59C1512804QCF25A 1.8V SODIMM PB_FREE,INNODISK,,
196,03-351224480,*DDRII800 512Mb 16bits EDE5116AJBG-8E-E CL=5 1.8V FBGA84 PB_FREE,ELPIDA,USD 1.8900,USD 1.8900
197,03-351234240,*DDRII533 512Mb HY5PS12821CFP-C4 1.8V FBGA60 PB_FREE,HYNIX,USD 2.6498,USD 2.6498
198,03-3512443B0,*DDRII667 512MB D2SE64081XG30AA 1.8V SODIMM PB_FREE,DSL,NTD 405.0000,NTD 232.0000
199,03-3512443B1,*DDRII667 512MB D2SS64081XG30AA (Samsung K4T51083QG-HCE6) 1.8V SODIMM PB_FREE,DSL,NTD 380.0000,NTD 380.0000
200,03-3512443B2,*DDRII667 512MB D2SH64081XG30AA HY5PS12821CFP-Y5 1.8V SODIMM PB_FREE,DSL,NTD 250.0000,NTD 250.0000
201,03-3512443B3,*DDRII667 512MB D2SS64081XH30AA (Samsung K4T51083QI-HCE6) 1.8V SODIMM PB_FREE,DSL,NTD 410.0000,
202,03-3512443C0,*DDRII667 512MB UG64T6400L8SU-6AS 1.8V SODIMM PB_FREE,UNIGEN,NTD 245.0000,NTD 546.0000
203,03-3512443D0,*DDRII667降533 512MB HY5PS12821CFP-Y5(M2SJ-12HC5CH4-C) 1.8V SODIMM PB_FREE,INNODISK,NTD 490.0000,NTD 400.0000
204,03-401G053B1,*DDRIII1066 1GB D3SH28081XH18AB CL=7 1.5V SODIMM PB_FREE,DSL,NTD 244.0000,NTD 260.0000
205,03-401G053B2,*DDRIII1066 1GB D3SS28081XH18AB(SAMSUNG) CL=7 1.5V SODIMM PB_FREE,DSL,NTD 318.0000,NTD 318.0000
206,03-401G053D1,*DDRIII1066 1GB M3SN-1GHFCCM7-D CL=7 1.5V SODIMM PB_FREE,INNODISK,NTD 240.0000,NTD 260.0000
207,03-401G15320,*DDRIII1066 1GB AD3S1333B1G9-BMIG(Micron顆粒) CL=9 1.5V SODIMM PB_FREE,ADATA,NTD 489.0000,NTD 489.0000
208,03-401G153D0,*DDRIII1066 1GB M3SN-1GSFCCM7-G(Samsung顆粒) CL=7 1.5V SODIMM PB_FREE,INNODISK,NTD 410.0000,NTD 395.0000
209,03-401G153D1,*DDRIII1066 1GB M3SN-1GSFCCM7-GHF(Samsung顆粒) CL=7 1.5V SODIMM PB_FREE & Halogen_FREE,INNODISK,NTD 419.0000,NTD 419.0000
210,03-401G15540,*DDRIII1333 1024Mb H5TQ1G83BFR-H9C CL=9 1.5V FBGA78 PB_FREE,HYNIX,NTD 69.0000,NTD 40.0000
211,03-401G15541,*DDRIII1333 1024Mb 8bits H5TQ1G83DFR-H9C CL=9 1.5V FBGA78 PB_FREE,HYNIX,USD 0.9400,NTD 30.0000
212,03-401G15580,*DDRIII1333 1024Mb 8bits EDJ1108BDBG-DJ-F CL=9 1.5V FBGA78 PB_FREE,ELPIDA,USD 2.5000,USD 2.5000
213,03-401G15581,*DDRIII1333 1024Mb EDJ1108BFBG-DJ-F (F DIE)CL=9 1.5V FBGA78 PB_FREE,ELPIDA,NTD 26.5000,
214,03-401G157D0,*DDRIII1333 1GB M3CN-1GHF1C09-D CL=9 1.5V ECC DIMM PB_FREE,INNODISK,NTD 550.0000,NTD 550.0000
215,03-401G157E0,*DDRIII1333 1GB 75.073C8.G00 CL=9 1.5V ECC DIMM PB_FREE,APACER,NTD 796.0000,NTD 545.0000
216,03-401G157E1,*DDRIII1333 1GB 75.073C8.G020C CL=9 1.5V ECC DIMM PB_FREE,APACER,NTD 473.0000,NTD 475.0000
217,03-401G157E2,*DDRIII1333 1GB 75.073C8.G040C CL=9 1.5V ECC DIMM PB_FREE,APACER,NTD 755.0000,NTD 755.0000
218,03-401G863B0,*DDRIII1600 1GB D3SS28161XL12AA(Samsung Q Die) 1.35V CL=11 SODIMM PB_FREE,DSL,NTD 200.0000,NTD 200.0000
219,03-401G863B1,DDRIII1600 1GB D3SS28161XL12AA(Samsung F Die) 1.35V CL=11 SODIMM PB_FREE,DSL,NTD 275.0000,NTD 275.0000
220,03-401GC63B0,*DDRIII1866 1GB K4B2G1646F-BYMA(Samsung F Die) 1RANK CL=13 1.35V SODIMM PB_FREE,DSL,NTD 278.0000,
221,03-402G053B0,*DDRIII1066 2GB D3SH56081XH18AB CL=7 1.5V SODIMM PB_FREE,DSL,NTD 420.0000,NTD 373.0000
222,03-402G053B1,*DDRIII1066 2GB D3SS56081XH18AB CL=7 1.5V SODIMM PB_FREE,DSL,NTD 470.0000,NTD 470.0000
223,03-402G053B2,*DDRIII1066 2GB D3SH56081XH18AC CL=7 1.5V SODIMM PB_FREE,DSL,NTD 530.0000,NTD 545.0000
224,03-402G053D0,*DDRIII1066 2GB M3SN-2GHJCCM7-C CL=7 1.5V SODIMM PB_FREE,INNODISK,NTD 340.0000,NTD 340.0000
225,03-402G053D1,*DDRIII1066 2GB M3SW-2GHJCCM7-E CL=7 1.5V SODIMM PB_FREE,INNODISK,NTD 600.0000,NTD 696.0000
226,03-402G057D0,*DDRIII1066 2GB M3SW-2GJCCM7-QA14(Samsung Q Die)  CL=11 1.5V SO-DIMM,INNODISK,NTD 540.0000,NTD 540.0000
227,03-402G15540,*DDRIII1333 2Gb 8bits H5TQ2G83BFR--H9C CL=9 1.5V FBGA82 PB_FREE,HYNIX,NTD 40.0000,NTD 35.0000
228,03-402G15541,*DDRIII1333 2Gb 8bits H5TQ2G83CFR--H9C CL=9 1.5V FBGA78 PB_FREE,HYNIX,NTD 66.6000,NTD 66.6000
229,03-402G15542,*DDRIII1333 2Gb 8bits H5TQ2G83EFR-H9A CL=9 1.5V FBGA78 PB_FREE,HYNIX,,NTD 45.0000
230,03-402G15640,*DDRIII1333 2Gb 16bit H5TQ2G63DFR-H9C CL=9 1.5V FBGA96 PB_FREE,HYNIX,NTD 56.0000,
231,03-402G156A0,*DDRIII1333 2Gb 16bits K4B2G1646C-HCH9 CL=9 1.5V FBGA96 PB_FREE,HYNIX,,
232,03-402G157D0,*DDRIII1333 2GB M3CN-2GHJ1C09-B CL=9 1.5V ECC DIMM PB_FREE,INNODISK,NTD 760.0000,
233,03-402G157E0,*DDRIII1333 2GB 75.A83C8.G000C CL=9 1.5V ECC DIMM PB_FREE,APACER,NTD 540.0000,NTD 542.0000
234,03-402G157E1,*DDRIII1333 2GB 75.A83C8.G040C CL=9 1.5V ECC DIMM PB_FREE,APACER,"NTD 1,015.0000","NTD 1,015.0000"
235,03-402G853B0,*DDRIII1600 2GB D3SS56081XH12AA(Samsung Q Die)  CL=11 1.5V SO-DIMM,DSL,USD 25.3000,USD 25.3000
236,03-402G853F0,*DDRIII1600 2GB TS256MSK64V6N(Samsung Q Die)  CL=11 1.5V SO-DIMM,Transcend,USD 10.5000,USD 13.5000
237,03-402G85540,*DDRIII1600 2Gb  H5TQ2G83CFR-PBC  CL=11 1.5V FBGA78 PB_FREE,HYNIX,USD 2.5000,USD 2.5000
238,03-402G85541,*DDRIII1600 2Gb H5TQ2G83FFR-PBC (Hynix F Die)  CL=11 1.5V  FBGA78,HYNIX,,
239,03-402G855A0,*DDRIII 1600 2Gb 8bits K4B2G0846Q-BCK0 CL=11 1.5V FBGA78 PB_FREE,SAMSUNG,USD 1.9200,USD 1.9200
240,03-402G85640,DDRIII1600 2Gb 16bit H5TQ2G63DFR-PBC CL=11 1.5V FBGA96 PB_FREE,HYNIX,USD 2.0500,USD 2.1400
241,03-402G856A0,*DDRIII1600 2Gb 16bit K4B2G1646E-BCK0 CL=11 1.5V FBGA96 PB_FREE,SAMSUNG,USD 2.2700,USD 2.2000
242,03-402G856A1,*DDRIII1600 2Gb 16bit K4B2G1646Q-BCK0 CL=11 1.5V FBGA96 PB_FREE,SAMSUNG,USD 1.8000,USD 1.8000
243,03-402G856A2,*DDRIII1600 2Gb 16bit K4B2G1646F-BCK0(Samsung F Die) CL=11 1.5V FBGA96 PB_FREE,SAMSUNG,USD 1.9600,USD 1.9600
244,03-402G85720,*DDRIII1600 2GB AD3E1600C2G11-BMIK CL=11 1.5V ECC DIMM PB_FREE,ADATA,,
245,03-402G857B0,*DDRIII1600 2GB D3ES56081XH12AA (Samsung Q Die) CL=11 1.5V ECC DIMM PB_FREE,DSL,NTD 412.0000,NTD 412.0000
246,03-402G857B1,*DDRIII1600 2GB D3ES56081XH12AA (Samsung F Die) CL=11 1.5V ECC DIMM PB_FREE,DSL,NTD 590.0000,NTD 640.0000
247,03-402G857F0,*DDRIII1600 2GB TS256MLK72V6N (Samsung Q Die)  CL=11 1.5V  ECC-DIMM,Transcend,USD 13.9000,USD 11.8000
248,03-402G857F1,*DDRIII1600 2GB TS7K9EDSF0000S (Samsung F Die)  CL=11 1.5V  ECC-DIMM PB_FREE,Transcend,,
249,03-402G863B0,*DDRIII1600 2GB D3SS56081XL12AA(Samsung Q Die) 1.35V CL=11 SODIMM PB_FREE,DSL,,
250,03-402G863B1,*DDRIII1600 2GB D3SS56081XL12AA(Samsung F Die) 1.35V CL=11 SODIMM PB_FREE,DSL,USD 12.2000,USD 12.2000
251,03-402G863B2,*DDRIII1600 2GB D3SS56081XL12AB(Samsung F Die) 1RANK CL=11 1.35V SODIMM PB_FREE,DSL,USD 11.3000,USD 11.3000
252,03-402G863F0,DDRIII1600 2GB TS7W9SDSQ0000S(Samsung Q Die) 1.35V CL=11 SODIMM PB_FREE,Transcend,USD 10.5000,USD 10.5000
253,03-402G863F1,*DDRIII1600 2GB TS7W9SDSF0000S(Samsung F Die) 1.35V CL=11 SODIMM PB_FREE,Transcend,USD 10.5000,
254,03-402G866A0,*DDRIII 1600 2Gb 16bits K4B2G1646Q-BYK0(Samsung Q Die) CL=11 1.35V FBGA96 PB_FREE,SAMSUNG,,
255,03-402G866A1,*DDRIII 1600 2Gb 16bits K4B2G1646F-BYK0(Samsung F Die) CL=11 1.35V FBGA96 PB_FREE,SAMSUNG,NTD 31.0000,USD 1.0000
256,03-402GC6340,*DDRIII1866 2GB D3SH56161XL10AA(Hynix C Die) 1RANK CL=13 1.35V SODIMM PB_FREE,DSL,NTD 485.0000,NTD 475.0000
257,03-402GC63B0,DDRIII1866 2GB D3SS56161XL10AA(Samsung E Die) 1RANK CL=13 1.35V SODIMM PB_FREE,DSL,USD 13.1000,USD 13.1000
258,03-402GC63D0,*DDRIII1866 2GB M3ST-2GMVFL0E-P(Micron P Die) 1RANK CL=13 1.35V SODIMM PB_FREE,INNODISK,USD 16.7000,USD 16.7000
259,03-402GC6640,*DDRIII1866 2Gb H5TC2G63GFR-RDA(Hynix G Die) CL=13 1.35V FBGA-96 PB_FREE,HYNIX,,USD 0.9400
260,03-402GC66A0,DDRIII 1866 2Gb 16bit K4B2G1646F-BYMA (Samsung F Die) CL=13 1.35V FBGA96 PB_FREE,SAMSUNG,USD 1.0500,USD 1.0500
261,03-404G157E0,*DDRIII1600 4GB 75.B83DM.G000C CL=11 1.5V ECC DIMM PB_FREE,APACER,"NTD 1,770.0000","NTD 1,770.0000"
262,03-404G853B0,DDRIII1600 4GB  D3SS12081XH12AA(Samsung D Die) 1.5V CL=11 SODIMM PB_FREE,DSL,USD 37.8000,USD 37.8000
263,03-404G855A0,*SDRAM 4Gb DDRIII-1600 8bits K4B4G0846B-HCK0000 CL=11 1.5V FBGA78-D8 PB_FREE,SAMSUNG,USD 3.0000,USD 3.0000
264,03-404G856A0,*SDRAM 4Gb DDRIII-1600 16bits K4B4G1646D-BCK0000T(Samsung D Die) CL=11 1.5V FBGA96 PB_FREE,SAMSUNG,USD 2.7000,USD 2.7000
265,03-404G856A1,*SDRAM 4Gb DDRIII-1600 16bits K4B4G1646E-BCK0(Samsung E Die) CL=11 1.5V FBGA96 PB_FREE,SAMSUNG,USD 3.8000,USD 3.5000
266,03-404G857B0,DDRIII1600 4GB D3ES12081XH12AA (Samsung D Die) CL=11 1.5V ECC DIMM PB_FREE,DSL,USD 46.9000,USD 46.9000
267,03-404G857B1,*DDRIII1600 4GB D3ES12081XH12AA (Samsung E Die) CL=11 1.5V ECC DIMM PB_FREE,DSL,,
268,03-404G857F0,*DDRIII1600 4GB TS512MLK72V6H (Samsung D Die) CL=11 1.5V ECC DIMM PB_FREE,Transcend,USD 20.2000,USD 38.7000
269,03-404G863A0,DDRIII1600 4GB M471B5173DB0-YK0(Samsung D Die) 1.35/1.5V CL=11 SODIMM PB_FREE,SAMSUNG,USD 31.0000,USD 24.0000
270,03-404G863A1,DDRIII1600 4GB M471B5173EB0-YK0(Samsung E Die) 1.35/1.5V CL=11 SODIMM PB_FREE,SAMSUNG,USD 35.0000,USD 35.0000
271,03-404G863B0,*DDRIII1600 4GB D3SS12081XL12AA(Samsung E Die) CL=11 1.35V SODIMM PB_FREE,DSL,USD 23.6000,USD 23.6000
272,03-404G863B1,DDRIII1600 4GB D3SS12081XL12AA(Samsung E Die BYMA) CL=11 1.35V SODIMM PB_FREE,DSL,,USD 35.3000
273,03-404G863B2,DDRIII1600 4GB D3SS12081XL12AB(Samsung E Die) 1RANK CL=11 1.35V SODIMM PB_FREE,DSL,USD 20.0000,USD 16.9000
274,03-404G865A0,SDRAM 4Gb DDRIII-1600 8bits K4B4G0846D-BYK0(Samsung D Die) CL=11 1.35V/1.5V FBGA78-D8 PB_FREE,SAMSUNG,USD 3.5000,USD 3.3000
275,03-404G86600,*DDRIII1600 4Gb 16bits H5TC4G63AFR-PBA 1.35V CL=11 FBGA96 PB_FREE,HYNIX,USD 2.7300,USD 2.7300
276,03-404G86640,*DDRIII1600 4Gb 16bits H5TC4G63CFR-PBA(Hynix C Die) 1.35V CL=11 FBGA96 PB_FREE,HYNIX,USD 1.6000,USD 1.7000
277,03-404G86641,DDRIII1600 4Gb 16bits H5TC4G63EFR-PBA(Hynix E Die) 1.35V CL=11 FBGA96 PB_FREE,HYNIX,USD 1.4700,USD 1.4700
278,03-404G95640,*DDRIII2133 4Gb H5TQ4G63CFR-TEC(Hynix C Die) CL=14 1.5V FBGA-96 PB_FREE,HYNIX,USD 3.3500,USD 3.3500
279,03-404G95641,*DDRIII2133 4Gb H5TQ4G63EFR-TEC(Hynix E Die) CL=14 1.5V FBGA-96 PB_FREE,HYNIX,,
280,03-404G956A0,*DDRIII2133 4Gb K4B4G1646D-BCNB(Samsung D Die)  CL=14 1.5V FBGA-96 PB_FREE,SAMSUNG,,
281,03-404GC5500,*DDRIII1866 4Gb 8bits NT5CB512M8DN-EK(Nanya D Die) 1.5V CL=13 VFBGA78 PB_FREE,NANYA,USD 3.6500,USD 3.6500
282,03-404GC5540,*DDRIII-1866 4Gb 8bits H5TQ4G83CFR-RDC(Hynix C Die) CL=13 1.5V FBGA78 PB_FREE,HYNIX,USD 3.1000,USD 3.1000
283,03-404GC55A0,DDRIII-1866 8bits 4Gb K4B4G0846E-BCMA(Samsung E Die) CL=13 1.5V FBGA78 PB_FREE,SAMSUNG,USD 2.8000,USD 3.0500
284,03-404GC63B0,DDRIII1866 4GB D3SH56162XL10AA(Hynix C Die) 2RANK CL=13 1.35V SODIMM PB_FREE,DSL,USD 23.3000,USD 23.3000
285,03-404GC63B1,DDRIII1866 4GB D3SS56162XL10AA(Samsung E Die) 2RANK CL=13 1.35V SODIMM PB_FREE,DSL,USD 12.0000,USD 12.0000
286,03-404GC63B2,DDRIII1866 4GB D3SH56162XL10AA(Hynix E Die) 2RANK CL=13 1.35V SODIMM PB_FREE,DSL,USD 31.1000,USD 31.1000
287,03-404GC63F0,DDRIII1866 4GB TS512MSK64W8H(Micron P Die) CL=13 1.35V SODIMM PB_FREE,Transcend,USD 17.6000,
288,03-404GC6500,DDRIII1866 4Gb 8bits NT5CC512M8EN-EK(Nanya E Die) 1.35V CL=13 VFBGA78 PB_FREE,NANYA,USD 1.9500,USD 1.9500
289,03-404GC66A0,DDRIII 1866 4Gb 16bit K4B4G1646E-BYMA (Samsung E Die) CL=13 1.35V FBGA96 PB_FREE,SAMSUNG,USD 0.9900,USD 1.2120
290,03-408G157E0,*DDRIII1600 8GB 75.C93DM.G000C CL=11 1.5V ECC DIMM PB_FREE,APACER,"NTD 2,960.0000","NTD 2,960.0000"
291,03-408G857B0,DDRIII1600 8GB D3ES12082XH12AA (Samsung D Die) CL=11 1.5V ECC DIMM PB_FREE,DSL,USD 86.6000,USD 86.6000
292,03-408G857B1,DDRIII1600 8GB D3ES12082XH12AA (Samsung E Die) CL=11 1.5V ECC DIMM PB_FREE,DSL,,
293,03-408G857F0,*DDRIII1600 8GB TS1GLK72V6H(Samsung D Die) CL=11 1.5V ECC DIMM PB_FREE,Transcend,USD 38.5000,
294,03-408G863A0,*DDRIII1600 8GB M471B1G73EB0-YK0(Samsung E Die) 1.35V CL=11 SODIMM PB_FREE,SAMSUNG,USD 72.5000,USD 72.5000
295,03-408G863B0,DDRIII1600 8GB D3SS12082XL12AB(Samsung E Die) 1.35V CL=11 SODIMM PB_FREE,DSL,USD 28.6000,USD 28.6000
296,03-408G863F0,DDRIII1600 8GB TS1GSK64W6H(Samsung D Die) 1.35V CL=11 SODIMM PB_FREE,Transcend,USD 58.2000,USD 58.2000
297,03-408G866A0,*DDRIII1600 8Gb K4B8G1646D-MYK0(Samsung D Die) 1.35V CL=11 FBGA-96 PB_FREE,SAMSUNG,USD 6.6000,USD 6.6000
298,03-42004G001,DDRIV2666 SO-DIMM 4GB D23.23190S.00A (Samsung C Die) CL=19 1.2V,APACER,,
299,03-42004G011,DDRIV2666 SO-DIMM 4GB AD4S2666W4G19-BSSF (SAMSUNG F DIE) CL=19 1.2V,ADATA,USD 11.4000,USD 10.2000
300,03-42004G021,DDRIV2666 SO-DIMM 4GB D4SS12081SH26A-C (SAMSUNG F DIE) CL=19 1.2V,DSL,USD 14.4000,USD 12.7000
301,03-43002G001,DDRIV2666 ECC SO-DIMM 2GB D43.23147S.001 (Samsung F Die) CL=19 1.2V,APACER,USD 10.6000,USD 9.6000
302,03-43002G011,DDRIV2666 ECC SO-DIMM 2GB M4DI-2GSVPC0K-FA14 (Samsung F Die) CL=19 1.2V,INNODISK,USD 9.9000,USD 9.6000
303,03-43004G011,DDRIV3200 ECC SO-DIMM 4GB M4DE-4GSSPC0M-FA14 (Samsung F Die) CL=22 1.2V,INNODISK,USD 16.4000,USD 14.5000
304,03-43004G021,DDRIV2666 ECC SO-DIMM 4GB AD4B2666W4G19-BSSF (Samsung F Die) CL=19 1.2V,ADATA,USD 15.2000,USD 14.2000
305,03-43004G031,DDRIV2666 ECC SO-DIMM 4GB D43.23180S.006 (Samsung E Die) CL=19 1.2V,APACER,USD 41.0000,USD 34.0000
306,03-43004G041,DDRIV2666 ECC SO-DIMM 4GB D43.23180S.007 (Samsung F Die) CL=19 1.2V,APACER,USD 34.0000,USD 34.0000
307,03-43004G051,DDRIV2666 ECC SO-DIMM 4GB D4XH12081SH26A-C (Hynix B Die) CL=19 1.2V,DSL,USD 37.4000,USD 37.4000
308,03-43004G061,DDRIV3200 ECC SO-DIMM 4GB D43.27197S.001 (Samsung C Die) CL=22 1.2V,APACER,USD 27.5000,USD 27.5000
309,03-43004G071,DDRIV3200 ECC SO-DIMM 4GB M4DE-4GSXPC0M-CA14 (Samsung C Die) CL=22 1.2V,INNODISK,USD 27.8000,USD 27.8000
310,03-43004G081,DDRIV3200 ECC SO-DIMM 4GB D43.27180S.001 (Samsung F Die) CL=22 1.2V,APACER,USD 14.7000,USD 14.5000
311,03-43008G011,DDRIV3200 ECC SO-DIMM 8GB AD4B320038G22-BSSC (Samsung C Die) CL=22 1.2V,ADATA,USD 21.5000,USD 19.0000
312,03-43008G021,DDRIV3200 ECC SO-DIMM 8GB M4DE-8GS1PC0M-CA14 (Samsung C Die) CL=22 1.2V,INNODISK,USD 21.5000,USD 19.0000
313,03-43016G011,DDRIV3200 ECC SO-DIMM 16GB M4DE-AGS2PC0M-AA14 (Samsung A Die) CL=22 1.2V,INNODISK,USD 36.5000,USD 34.1000
314,03-45004G011,DDRIV2666 ECC U-DIMM 4GB AD4E2666W4G19-BSSF (Samsung F die) CL=19 1.2V,ADATA,USD 18.0000,USD 14.2000
315,03-45008G011,DDRIV3200 ECC U-DIMM 8GB D4ES1G081SH32A-E (Samsung C Die) CL=22 1.2V,DSL,USD 21.5000,USD 20.2000
316,03-45008G021,DDRIV3200 ECC U-DIMM 8GB M4CE-8GS1LC0M-CA14 (Samsung C Die) CL=22 1.2V,INNODISK,USD 21.6000,USD 19.0000
317,03-45016G011,DDRIV3200 ECC U-DIMM 16GB M4CE-AGS2LC0M-AA14 (Samsung A die) CL=22 1.2V,INNODISK,USD 36.3000,USD 34.1000
318,03-45016G021,DDRIV3200 ECC U-DIMM 16GB AD4E3200716G22-BSSA (Samsung A die) CL=22 1.2V,ADATA,USD 34.1000,USD 34.1000
319,03-45032G011,DDRIV3200 ECC U-DIMM 32GB AD4E3200732G22-BSSA (Samsung A die) CL=22 1.2V,ADATA,,
320,03-46016G011,DDRIV2666 R-DIMM 16GB AD4R2666316G19-BSSC (Samsung C Die) CL=19 1.2V,ADATA,USD 74.9000,USD 46.8000
321,03-46016G021,DDRIV3200 R-DIMM 16GB M4R0-AGS1BCEM-A14 (Samsung C Die) CL=22 1.2V,INNODISK,USD 44.7000,USD 42.2000
322,03-46016G031,DDRIV3200 R-DIMM 16GB AD4R3200316G22-BSSC (Samsung C Die) CL=22 1.2V,ADATA,USD 52.7000,USD 42.2000
323,03-46032G011,DDRIV3200 R-DIMM 32GB M4R0-BGS2BCEM-A14 (Samsung A Die) CL=22 1.2V,INNODISK,USD 75.6000,USD 74.0000
324,03-46032G021,DDRIV3200 R-DIMM 32GB D53.27307S.006 (Samsung A Die) CL=22 1.2V,APACER,USD 75.0000,USD 74.0000
325,03-46064G011,DDRIV3200 R-DIMM 64GB M393A8G40BB4-CWE (Samsung B Die) CL=22 1.2V,SAMSUNG,USD 190.0000,USD 190.0000
326,03-4A512M011,DDRIV2666 FBGA78 4Gb K4A4G085WF-BCTD(Samsung F DIE) CL=19 1.2V,SAMSUNG,USD 1.0300,USD 1.0300
327,03-4B001G001,DDRIV3200 FBGA-96 8Gb 16bit MICRON MT40A512M16TB-062E:R(Micron R Die) CL=22 1.2V,Micron,USD 1.5600,USD 1.5300
328,03-4B512M001,DDRIV3200 FBGA-96 8Gb 16bit K4A8G165WC-BCWE(Samsung C Die) CL=22 1.2V,SAMSUNG,USD 3.9000,USD 1.9500
329,03-5001930G0,*nvSRAM 1Mb 128k x 8bits CY14B101LA 2.5/3.5V TSOPII-44P PB_FREE,CYPRESS,,
330,03-604GB73B0,DDRIV2400 4GB D4SS12081SH24A-B(Samsung E Die) 1RANK CL=17 1.2V SODIMM PB_FREE,DSL,USD 18.4000,USD 16.5000
331,03-604GB73B1,DDRIV2400 4GB D4SH12081SH24A-B(Hynix A Die) 1RANK CL=17 1.2V SODIMM PB_FREE,DSL,,
332,03-604GB73D0,DDRIV2400 4GB M4SS-4GSSNC0J-EA14(Samsung E Die) 1RANK CL=17 1.2V SODIMM PB_FREE,INNODISK,,
333,03-604GB7640,DDRIV2400 4Gb H5AN4G6NAFR-UHC(Hynix A Die) CL=17 1.2V FBGA-96 PB_FREE,HYNIX,USD 3.5500,USD 3.5500
334,03-604GB76A0,DDRIV2400 4Gb K4A4G165WE-BCRC(Samsung E Die) CL=17 1.2V FBGA-96 PB_FREE,SAMSUNG,USD 1.2900,USD 1.2900
335,03-604GB79D0,DDRIV2400 4GB M4US-4GSSJC0J-E(Samsung E Die) 1RANK CL=17 1.2V U-DIMM PB_FREE,INNODISK,USD 17.8000,USD 16.5000
336,03-604GD73B0,DDRIV2666 4GB D4SS12161SH26A-C(Samsung C Die) 1RANK CL=19 1.2V SODIMM PB_FREE,DSL,USD 10.5000,USD 10.2000
337,03-604GD76A0,*DDRIV2666 4Gb K4A4G165WE-BCTD(Samsung E Die) CL=19 1.2V FBGA-96 PB_FREE,SAMSUNG,USD 2.9850,USD 3.0000
338,03-604GD76A1,DDRIV2666 4Gb K4A4G165WF-BCTD(Samsung F Die) CL=19 1.2V FBGA-96,SAMSUNG,USD 1.0300,USD 1.0300
339,03-604GD79D0,DDRIV2666 4GB M4UI-4GSSJC0K-FA14(Samsung F Die) 1RANK CL=19 1.2V U-DIMM PB_FREE,INNODISK,USD 33.0000,USD 33.0000
340,03-604GE75B0,DDRIV2666 4GB D4XS12081SH26A-C(Samsung F die) 1RANK CL=19 1.2V ECC SODIMM PB_FREE,DSL,USD 16.5000,USD 14.2000
341,03-604GE79B0,DDRIV2666 4GB D4ES12081SH26A-C(Samsung F die) 1RANK CL=19 1.2V ECC U-DIMM,DSL,USD 15.5000,USD 14.2000
342,03-608GA73B0,*DDRIV2133 8GB D4XS12082SH21A?B(Samsung E Die) CL=15 1.2V ECC SODIMM PB_FREE,DSL,USD 38.4000,USD 36.5000
343,03-608GA73F0,*DDRIV2133 8GB TS1GSH72V1H(Samsung E Die) CL=15 1.2V ECC SODIMM PB_FREE,Transcend,USD 43.5000,USD 43.5000
344,03-608GA77A0,*DDRIV2133 8GB M391A1G43EB1-CPB(Samsung E Die) CL=15 1.2V ECC U-DIMM PB_FREE,SAMSUNG,"NTD 2,710.0000",USD 95.0000
345,03-608GA77D0,*DDRIV2133 8GB M4CR-8GSSMC0G-E1A14(Samsung E Die) CL=15 1.2V ECC U-DIMM PB_FREE,INNODISK,USD 90.0000,USD 90.0000
346,03-608GB73B0,DDRIV2400 8GB D4XS12082SH24A-B(Samsung E Die) 2RANK CL=17 1.2V ECC SODIMM PB_FREE,DSL,USD 39.7000,USD 36.5000
347,03-608GB77D0,*DDRIV2400 8GB M4CS-8GSSMC0J-EA14(Samsung E Die) 2RANK CL=17 1.2V ECC U-DIMM PB_FREE,INNODISK,USD 40.5000,USD 40.5000
348,03-608GD73B0,DDRIV2666 8GB M4DI-8GSSQC0K-F14(Samsung F Die) 2RANK CL=19 1.2V ECC SODIMM PB_FREE,INNODISK,USD 24.8000,USD 24.6000
349,03-608GD76A0,DDRIV2666 8Gb K4A8G165WC-BCTD(Samsung C Die) CL=19 1.2V FBGA-96 PB_FREE,SAMSUNG,USD 1.7000,USD 1.8200
350,03-608GD79D0,DDRIV2666 8GB M4CI-8GSSMC0K-FA14(Samsung F Die) 2RANK CL=19 1.2V ECC U-DIMM PB_FREE,INNODISK,USD 25.4000,USD 24.6000
351,03-616GA73B0,*DDRIV2133 16GB D4XS1G082SH21A?B(Samsung B Die) CL=15 1.2V ECC SODIMM PB_FREE,DSL,USD 166.0000,USD 166.0000
352,03-616GA73D0,*DDRIV2133 16GB M4DR-AGS1QC0G-BA14(Samsung B Die) CL=15 1.2V ECC SODIMM PB_FREE,INNODISK,"NTD 4,308.0000","NTD 4,308.0000"
353,03-616GA77A0,*DDRIV2133 16GB M391A2K43BB1-CPB0(Samsung B Die) CL=15 1.2V U-DIMM PB_FREE,SAMSUNG,"NTD 4,855.0000","NTD 4,855.0000"
354,03-616GA77D0,*DDRIV2133 16GB M4CR-AGS1MC0G-B1A14(Samsung B Die) CL=15 1.2V ECC U-DIMM PB_FREE,INNODISK,"NTD 2,460.0000","NTD 2,460.0000"
355,03-616GA78A0,*DDRIV2133 16GB M393A2G40DB0-CPB(Samsung D Die) 1.2V CL=15 R-DIMM PB_FREE,SAMSUNG,USD 180.0000,USD 180.0000
356,03-616GA78F0,*DDRIV2133 16GB TS2GHR72V1Z(Samsung D Die) CL=15 1.2V R-DIMM PB_FREE,Transcend,USD 78.0000,USD 78.0000
357,03-616GB73B0,DDRIV2400 16GB D4XS1G082SH24A?B(Samsung B Die) 2RANK CL=17 1.2V ECC SODIMM PB_FREE,DSL,USD 70.8000,USD 70.8000
